Datum Zeit,Collmberg NO
26-09-09 06:00,1
26-09-09 05:00,1
26-09-09 04:00,1
26-09-09 03:00,1
26-09-09 02:00,1
26-09-09 01:00,1
26-09-09 00:00,1
25-09-09 23:00,1
25-09-09 22:00,1
25-09-09 21:00,1
25-09-09 20:00,1
25-09-09 19:00,1
25-09-09 18:00,1
25-09-09 17:00,1
25-09-09 16:00,1
25-09-09 15:00,1
25-09-09 14:00,1
25-09-09 13:00,1
25-09-09 12:00,1
25-09-09 11:00,2
25-09-09 10:00,4
25-09-09 09:00,1
25-09-09 08:00,1
25-09-09 07:00,1
25-09-09 06:00,1
25-09-09 05:00,1
25-09-09 04:00,1
25-09-09 03:00,1
25-09-09 02:00,1
25-09-09 01:00,1
25-09-09 00:00,1
24-09-09 23:00,1
24-09-09 22:00,1
24-09-09 21:00,1
24-09-09 20:00,1
24-09-09 19:00,1
24-09-09 18:00,1
24-09-09 17:00,1
24-09-09 16:00,1
24-09-09 15:00,1
24-09-09 14:00,1
24-09-09 13:00,1
24-09-09 12:00,1
24-09-09 11:00,1
24-09-09 10:00,1
24-09-09 09:00,1
24-09-09 08:00,1
24-09-09 07:00,1
24-09-09 06:00,1
24-09-09 05:00,1
24-09-09 04:00,1
24-09-09 03:00,1
24-09-09 02:00,1
24-09-09 01:00,1
24-09-09 00:00,1
23-09-09 23:00,1
23-09-09 22:00,1
23-09-09 21:00,1
23-09-09 20:00,1
23-09-09 19:00,1
23-09-09 18:00,1
23-09-09 17:00,1
23-09-09 16:00,1
23-09-09 15:00,1
23-09-09 14:00,1
23-09-09 13:00,1
23-09-09 12:00,1
23-09-09 11:00,1
23-09-09 10:00,1
23-09-09 09:00,1
23-09-09 08:00,1
23-09-09 07:00,1
23-09-09 06:00,1
23-09-09 05:00,1
23-09-09 04:00,1
23-09-09 03:00,1
23-09-09 02:00,1
23-09-09 01:00,1
23-09-09 00:00,1
22-09-09 23:00,1
22-09-09 22:00,1
22-09-09 21:00,1
22-09-09 20:00,1
22-09-09 19:00,1
22-09-09 18:00,1
22-09-09 17:00,1
22-09-09 16:00,1
22-09-09 15:00,1
22-09-09 14:00,1
22-09-09 13:00,1
22-09-09 12:00,1
22-09-09 11:00,1
22-09-09 10:00,1
22-09-09 09:00,1
22-09-09 08:00,1
22-09-09 07:00,1
22-09-09 06:00,1
22-09-09 05:00,1
22-09-09 04:00,1
22-09-09 03:00,1
22-09-09 02:00,1
22-09-09 01:00,1
22-09-09 00:00,1
21-09-09 23:00,1
21-09-09 22:00,1
21-09-09 21:00,1
21-09-09 20:00,1
21-09-09 19:00,1
21-09-09 18:00,1
21-09-09 17:00,1
21-09-09 16:00,1
21-09-09 15:00,1
21-09-09 14:00,1
21-09-09 13:00,1
21-09-09 12:00,1
21-09-09 11:00,1
21-09-09 10:00,1
21-09-09 09:00,1
21-09-09 08:00,1
21-09-09 07:00,1
21-09-09 06:00,1
21-09-09 05:00,1
21-09-09 04:00,1
21-09-09 03:00,1
21-09-09 02:00,1
21-09-09 01:00,1
21-09-09 00:00,1
20-09-09 23:00,1
20-09-09 22:00,1
20-09-09 21:00,1
20-09-09 20:00,1
20-09-09 19:00,1
20-09-09 18:00,1
20-09-09 17:00,1
20-09-09 16:00,1
20-09-09 15:00,1
20-09-09 14:00,1
20-09-09 13:00,1
20-09-09 12:00,1
20-09-09 11:00,1
20-09-09 10:00,1
20-09-09 09:00,1
20-09-09 08:00,1
20-09-09 07:00,1
20-09-09 06:00,1
20-09-09 05:00,1
20-09-09 04:00,1
20-09-09 03:00,1
20-09-09 02:00,1
20-09-09 01:00,1
20-09-09 00:00,1
19-09-09 23:00,1
19-09-09 22:00,1
19-09-09 21:00,1
19-09-09 20:00,1
19-09-09 19:00,1
19-09-09 18:00,1
19-09-09 17:00,1
19-09-09 16:00,1
19-09-09 15:00,1
19-09-09 14:00,1
19-09-09 13:00,1
19-09-09 12:00,1
19-09-09 11:00,1
19-09-09 10:00,3
19-09-09 09:00,1
19-09-09 08:00,1
19-09-09 07:00,1
19-09-09 06:00,1
19-09-09 05:00,1
19-09-09 04:00,1
19-09-09 03:00,1
19-09-09 02:00,1
19-09-09 01:00,1
19-09-09 00:00,1
18-09-09 23:00,1
18-09-09 22:00,1
18-09-09 21:00,1
18-09-09 20:00,1
18-09-09 19:00,1
18-09-09 18:00,1
18-09-09 17:00,1
18-09-09 16:00,1
18-09-09 15:00,1
18-09-09 14:00,1
18-09-09 13:00,1
18-09-09 12:00,1
18-09-09 11:00,1
18-09-09 10:00,2
18-09-09 09:00,1
18-09-09 08:00,1
18-09-09 07:00,1
18-09-09 06:00,1
18-09-09 05:00,1
18-09-09 04:00,1
18-09-09 03:00,1
18-09-09 02:00,1
18-09-09 01:00,1
18-09-09 00:00,1
17-09-09 23:00,1
17-09-09 22:00,1
17-09-09 21:00,1
17-09-09 20:00,1
17-09-09 19:00,1
17-09-09 18:00,1
17-09-09 17:00,1
17-09-09 16:00,1
17-09-09 15:00,1
17-09-09 14:00,1
17-09-09 13:00,1
17-09-09 12:00,1
17-09-09 11:00,1
17-09-09 10:00,1
17-09-09 09:00,1
17-09-09 08:00,1
17-09-09 07:00,1
17-09-09 06:00,1
17-09-09 05:00,1
17-09-09 04:00,1
17-09-09 03:00,1
17-09-09 02:00,1
17-09-09 01:00,1
17-09-09 00:00,1
16-09-09 23:00,1
16-09-09 22:00,1
16-09-09 21:00,1
16-09-09 20:00,1
16-09-09 19:00,1
16-09-09 18:00,1
16-09-09 17:00,1
16-09-09 16:00,1
16-09-09 15:00,1
16-09-09 14:00,1
16-09-09 13:00,1
16-09-09 12:00,1
16-09-09 11:00,2
16-09-09 10:00,2
16-09-09 09:00,2
16-09-09 08:00,1
16-09-09 07:00,1
16-09-09 06:00,1
16-09-09 05:00,1
16-09-09 04:00,1
16-09-09 03:00,1
16-09-09 02:00,1
16-09-09 01:00,1
16-09-09 00:00,1
15-09-09 23:00,1
15-09-09 22:00,1
15-09-09 21:00,1
15-09-09 20:00,1
15-09-09 19:00,1
15-09-09 18:00,1
15-09-09 17:00,1
15-09-09 16:00,1
15-09-09 15:00,1
15-09-09 14:00,1
15-09-09 13:00,1
15-09-09 12:00,1
15-09-09 11:00,1
15-09-09 10:00,1
15-09-09 09:00,1
15-09-09 08:00,1
15-09-09 07:00,1
15-09-09 06:00,1
15-09-09 05:00,1
15-09-09 04:00,1
15-09-09 03:00,1
15-09-09 02:00,1
15-09-09 01:00,1
15-09-09 00:00,1
14-09-09 23:00,1
14-09-09 22:00,1
14-09-09 21:00,1
14-09-09 20:00,1
14-09-09 19:00,1
14-09-09 18:00,1
14-09-09 17:00,1
14-09-09 16:00,1
14-09-09 15:00,1
14-09-09 14:00,1
14-09-09 13:00,1
14-09-09 12:00,1
14-09-09 11:00,1
14-09-09 10:00,1
14-09-09 09:00,1
14-09-09 08:00,1
14-09-09 07:00,1
14-09-09 06:00,1
14-09-09 05:00,1
14-09-09 04:00,1
14-09-09 03:00,1
14-09-09 02:00,1
14-09-09 01:00,1
14-09-09 00:00,1
13-09-09 23:00,1
13-09-09 22:00,1
13-09-09 21:00,1
13-09-09 20:00,1
13-09-09 19:00,1
13-09-09 18:00,1
13-09-09 17:00,1
13-09-09 16:00,1
13-09-09 15:00,1
13-09-09 14:00,1
13-09-09 13:00,1
13-09-09 12:00,1
13-09-09 11:00,1
13-09-09 10:00,1
13-09-09 09:00,1
13-09-09 08:00,1
13-09-09 07:00,1
13-09-09 06:00,1
13-09-09 05:00,1
13-09-09 04:00,1
13-09-09 03:00,1
13-09-09 02:00,1
13-09-09 01:00,1
13-09-09 00:00,1
12-09-09 23:00,1
12-09-09 22:00,1
12-09-09 21:00,1
12-09-09 20:00,1
12-09-09 19:00,1
12-09-09 18:00,1
12-09-09 17:00,1
12-09-09 16:00,1
12-09-09 15:00,1
12-09-09 14:00,1
12-09-09 13:00,1
12-09-09 12:00,1
12-09-09 11:00,1
12-09-09 10:00,1
12-09-09 09:00,1
12-09-09 08:00,1
12-09-09 07:00,1
12-09-09 06:00,1
12-09-09 05:00,1
12-09-09 04:00,1
12-09-09 03:00,1
12-09-09 02:00,1
12-09-09 01:00,1
12-09-09 00:00,1
11-09-09 23:00,1
11-09-09 22:00,1
11-09-09 21:00,1
11-09-09 20:00,1
11-09-09 19:00,1
11-09-09 18:00,1
11-09-09 17:00,1
11-09-09 16:00,1
11-09-09 15:00,1
11-09-09 14:00,1
11-09-09 13:00,1
11-09-09 12:00,1
11-09-09 11:00,1
11-09-09 10:00,1
11-09-09 09:00,1
11-09-09 08:00,1
11-09-09 07:00,1
11-09-09 06:00,1
11-09-09 05:00,1
11-09-09 04:00,1
11-09-09 03:00,1
11-09-09 02:00,1
11-09-09 01:00,1
11-09-09 00:00,1
10-09-09 23:00,1
10-09-09 22:00,1
10-09-09 21:00,1
10-09-09 20:00,1
10-09-09 19:00,1
10-09-09 18:00,1
10-09-09 17:00,1
10-09-09 16:00,1
10-09-09 15:00,1
10-09-09 14:00,1
10-09-09 13:00,1
10-09-09 12:00,1
10-09-09 11:00,1
10-09-09 10:00,1
10-09-09 09:00,2
10-09-09 08:00,2
10-09-09 07:00,1
10-09-09 06:00,1
10-09-09 05:00,1
10-09-09 04:00,1
10-09-09 03:00,1
10-09-09 02:00,1
10-09-09 01:00,1
10-09-09 00:00,1
09-09-09 23:00,1
09-09-09 22:00,1
09-09-09 21:00,1
09-09-09 20:00,1
09-09-09 19:00,1
09-09-09 18:00,1
09-09-09 17:00,1
09-09-09 16:00,1
09-09-09 15:00,1
09-09-09 14:00,1
09-09-09 13:00,1
09-09-09 12:00,1
09-09-09 11:00,1
09-09-09 10:00,1
09-09-09 09:00,1
09-09-09 08:00,1
09-09-09 07:00,1
09-09-09 06:00,1
09-09-09 05:00,1
09-09-09 04:00,1
09-09-09 03:00,1
09-09-09 02:00,1
09-09-09 01:00,1
09-09-09 00:00,1
08-09-09 23:00,1
08-09-09 22:00,1
08-09-09 21:00,1
08-09-09 20:00,1
08-09-09 19:00,1
08-09-09 18:00,1
08-09-09 17:00,1
08-09-09 16:00,1
08-09-09 15:00,1
08-09-09 14:00,1
08-09-09 13:00,1
08-09-09 12:00,1
08-09-09 11:00,1
08-09-09 10:00,1
08-09-09 09:00,1
08-09-09 08:00,1
08-09-09 07:00,1
08-09-09 06:00,1
08-09-09 05:00,1
08-09-09 04:00,1
08-09-09 03:00,1
08-09-09 02:00,1
08-09-09 01:00,1
08-09-09 00:00,1
07-09-09 23:00,1
07-09-09 22:00,1
07-09-09 21:00,1
07-09-09 20:00,1
07-09-09 19:00,1
07-09-09 18:00,1
07-09-09 17:00,1
07-09-09 16:00,1
07-09-09 15:00,1
07-09-09 14:00,1
07-09-09 13:00,1
07-09-09 12:00,1
07-09-09 11:00,1
07-09-09 10:00,1
07-09-09 09:00,1
07-09-09 08:00,1
07-09-09 07:00,1
07-09-09 06:00,1
07-09-09 05:00,1
07-09-09 04:00,1
07-09-09 03:00,1
07-09-09 02:00,1
07-09-09 01:00,1
07-09-09 00:00,1
06-09-09 23:00,1
06-09-09 22:00,1
06-09-09 21:00,1
06-09-09 20:00,1
06-09-09 19:00,1
06-09-09 18:00,1
06-09-09 17:00,1
06-09-09 16:00,1
06-09-09 15:00,1
06-09-09 14:00,1
06-09-09 13:00,1
06-09-09 12:00,1
06-09-09 11:00,1
06-09-09 10:00,1
06-09-09 09:00,1
06-09-09 08:00,1
06-09-09 07:00,1
06-09-09 06:00,1
06-09-09 05:00,1
06-09-09 04:00,1
06-09-09 03:00,1
06-09-09 02:00,1
06-09-09 01:00,1
06-09-09 00:00,1
05-09-09 23:00,1
05-09-09 22:00,1
05-09-09 21:00,1
05-09-09 20:00,1
05-09-09 19:00,1
05-09-09 18:00,1
05-09-09 17:00,1
05-09-09 16:00,1
05-09-09 15:00,1
05-09-09 14:00,1
05-09-09 13:00,1
05-09-09 12:00,1
05-09-09 11:00,1
05-09-09 10:00,1
05-09-09 09:00,1
05-09-09 08:00,1
05-09-09 07:00,1
05-09-09 06:00,1
05-09-09 05:00,1
05-09-09 04:00,1
05-09-09 03:00,1
05-09-09 02:00,1
05-09-09 01:00,1
05-09-09 00:00,1
04-09-09 23:00,1
04-09-09 22:00,1
04-09-09 21:00,1
04-09-09 20:00,1
04-09-09 19:00,1
04-09-09 18:00,1
04-09-09 17:00,1
04-09-09 16:00,1
04-09-09 15:00,1
04-09-09 14:00,1
04-09-09 13:00,1
04-09-09 12:00,1
04-09-09 11:00,1
04-09-09 10:00,1
04-09-09 09:00,1
04-09-09 08:00,1
04-09-09 07:00,1
04-09-09 06:00,1
04-09-09 05:00,1
04-09-09 04:00,1
04-09-09 03:00,1
04-09-09 02:00,1
04-09-09 01:00,1
04-09-09 00:00,1
03-09-09 23:00,1
03-09-09 22:00,1
03-09-09 21:00,1
03-09-09 20:00,1
03-09-09 19:00,1
03-09-09 18:00,1
03-09-09 17:00,1
03-09-09 16:00,1
03-09-09 15:00,1
03-09-09 14:00,1
03-09-09 13:00,1
03-09-09 12:00,1
03-09-09 11:00,1
03-09-09 10:00,1
03-09-09 09:00,1
03-09-09 08:00,1
03-09-09 07:00,1
03-09-09 06:00,1
03-09-09 05:00,1
03-09-09 04:00,1
03-09-09 03:00,1
03-09-09 02:00,1
03-09-09 01:00,1
03-09-09 00:00,1
02-09-09 23:00,1
02-09-09 22:00,1
02-09-09 21:00,1
02-09-09 20:00,1
02-09-09 19:00,1
02-09-09 18:00,1
02-09-09 17:00,1
02-09-09 16:00,1
02-09-09 15:00,1
02-09-09 14:00,1
02-09-09 13:00,1
02-09-09 12:00,1
02-09-09 11:00,1
02-09-09 10:00,1
02-09-09 09:00,1
02-09-09 08:00,1
02-09-09 07:00,1
02-09-09 06:00,1
02-09-09 05:00,1
02-09-09 04:00,1
02-09-09 03:00,1
02-09-09 02:00,1
02-09-09 01:00,1
02-09-09 00:00,1
01-09-09 23:00,1
01-09-09 22:00,1
01-09-09 21:00,1
01-09-09 20:00,1
01-09-09 19:00,1
01-09-09 18:00,1
01-09-09 17:00,1
01-09-09 16:00,1
01-09-09 15:00,1
01-09-09 14:00,1
01-09-09 13:00,1
01-09-09 12:00,1
01-09-09 11:00,1
01-09-09 10:00,1
01-09-09 09:00,1
01-09-09 08:00,1
01-09-09 07:00,1
01-09-09 06:00,1
01-09-09 05:00,1
01-09-09 04:00,1
01-09-09 03:00,1
01-09-09 02:00,1
01-09-09 01:00,1

